customer_id,city,acquisition_channel,first_purchase_date
C00001,Coimbatore,Influencer,2025-05-20
C00002,Kochi,Referral,2025-06-08
C00003,Kochi,Referral,2025-08-26
C00004,Hyderabad,Referral,2024-09-25
C00005,Kollam,Referral,2025-04-14
C00006,Hyderabad,Referral,2025-07-16
C00007,Hyderabad,Influencer,2024-11-19
C00008,Bangalore,Referral,2025-06-05
C00009,TVM,Instagram,2025-12-04
C00010,Kochi,Instagram,2024-11-09
C00011,Kochi,Referral,2025-10-29
C00012,Cochin,Referral,2025-04-30
C00013,Coimbatore,Referral,2025-04-02
C00014,TVM,Influencer,2025-01-29
C00015,Thrissur,Referral,2025-03-01
C00016,Kollam,Referral,2024-07-13
C00017,Chennai,Instagram,2025-11-22
C00018,Calicut,Influencer,2024-12-25
C00019,Kollam,Influencer,2025-11-04
C00020,Mumbai,Influencer,2025-04-26
C00021,Coimbatore,Instagram,2025-06-20
C00022,Kottayam,Referral,2025-02-28
C00023,Mysore,Instagram,2025-03-28
C00024,Kottayam,Instagram,2025-12-03
C00025,Coimbatore,Influencer,2025-02-26
C00026,Mumbai,Referral,2025-07-07
C00027,Cochin,Instagram,2024-09-16
C00028,TVM,Organic,2024-10-06
C00029,Calicut,Organic,2025-08-19
C00030,Kollam,Organic,2025-01-15
C00031,Hyderabad,Referral,2025-10-17
C00032,Calicut,Organic,2025-11-29
C00033,Coimbatore,Influencer,2025-02-19
C00034,Kottayam,,2025-10-18
C00035,Hyderabad,,2024-11-09
C00036,Mysore,,2025-03-13
C00037,Kochi,Organic,2025-08-01
C00038,Kochi,Instagram,2025-06-11
C00039,Coimbatore,Influencer,2025-04-29
C00040,Chennai,,2025-03-13
C00041,Chennai,Referral,2024-07-22
C00042,Kottayam,Instagram,2024-07-29
C00043,Kottayam,Influencer,2024-10-02
C00044,Thrissur,Influencer,2025-01-10
C00045,Calicut,Organic,2025-05-17
C00046,TVM,Referral,2024-07-19
C00047,Bangalore,Influencer,2024-12-09
C00048,Kochi,Instagram,2025-08-28
C00049,Chennai,Instagram,2024-07-12
C00050,Chennai,Instagram,2025-10-15
C00051,Mysore,Instagram,2025-04-03
C00052,Bangalore,,2024-10-06
C00053,Calicut,Referral,2025-12-30
C00054,Kollam,Instagram,2025-06-11
C00055,Mumbai,Organic,2025-10-17
C00056,TVM,Instagram,2025-07-19
C00057,Coimbatore,Influencer,2024-10-11
C00058,Calicut,Organic,2024-07-08
C00059,Kollam,Influencer,2025-07-26
C00060,Coimbatore,Influencer,2025-01-10
C00061,Coimbatore,Referral,2024-07-22
C00062,Chennai,Influencer,2025-10-01
C00063,Calicut,Instagram,2025-04-15
C00064,Kochi,Organic,2025-03-21
C00065,Coimbatore,Referral,2025-11-06
C00066,Coimbatore,Referral,2025-01-31
C00067,Kottayam,Influencer,2025-11-07
C00068,Cochin,Instagram,2024-09-30
C00069,TVM,Referral,2024-12-07
C00070,Chennai,Organic,2024-08-25
C00071,Calicut,Instagram,2024-07-29
C00072,Coimbatore,Instagram,2024-08-14
C00073,Mysore,Organic,2025-02-12
C00074,Thrissur,Organic,2024-08-25
C00075,Mumbai,Instagram,2024-09-19
C00076,Kottayam,Influencer,2025-08-18
C00077,Mumbai,Organic,2025-10-28
C00078,Coimbatore,Instagram,2025-06-21
C00079,Thrissur,Organic,2025-12-12
C00080,Kochi,Organic,2025-05-30
