order_item_id,order_id,product_id,quantity,price
OI000001,O000001,P030,1,794
OI000002,O000002,P012,2,715
OI000003,O000003,P007,1,1282
OI000004,O000003,P058,2,951
OI000005,O000003,P019,1,1100
OI000006,O000004,P025,1,879
OI000007,O000005,P014,2,1779
OI000008,O000005,P012,2,715
OI000009,O000005,P032,1,1487
OI000010,O000006,P005,2,1101
OI000011,O000006,P042,2,1718
OI000012,O000006,P011,2,1752
OI000013,O000007,P012,1,715
OI000014,O000008,P019,1,1100
OI000015,O000008,P051,2,1123
OI000016,O000009,P032,2,1487
OI000017,O000009,P011,1,1752
OI000018,O000010,P013,2,1716
OI000019,O000011,P005,1,1101
OI000020,O000011,P012,1,715
OI000021,O000011,P039,2,750
OI000022,O000012,P041,2,1251
OI000023,O000012,P034,1,1686
OI000024,O000012,P024,1,768
OI000025,O000013,P053,1,1572
OI000026,O000013,P036,2,1690
OI000027,O000014,P025,1,879
OI000028,O000014,P056,2,1093
OI000029,O000014,P020,2,1794
OI000030,O000015,P050,2,1746
OI000031,O000015,P059,2,1750
OI000032,O000016,P031,2,980
OI000033,O000016,P057,1,802
OI000034,O000016,P009,1,761
OI000035,O000017,P006,1,1396
OI000036,O000018,P049,1,1416
OI000037,O000018,P003,2,947
OI000038,O000019,P029,1,746
OI000039,O000019,P003,1,947
OI000040,O000019,P052,1,769
OI000041,O000020,P009,1,761
OI000042,O000020,P050,2,1746
OI000043,O000020,P034,2,1686
OI000044,O000021,P045,2,731
OI000045,O000022,P029,1,746
OI000046,O000023,P060,2,769
OI000047,O000023,P040,1,1088
OI000048,O000024,P041,2,1251
OI000049,O000024,P035,1,978
OI000050,O000024,P012,1,715
OI000051,O000025,P012,2,715
OI000052,O000025,P036,2,1690
OI000053,O000025,P031,2,980
OI000054,O000026,P023,1,1589
OI000055,O000026,P053,1,1572
OI000056,O000027,P016,1,1807
OI000057,O000027,P013,1,1716
OI000058,O000027,P043,2,1355
OI000059,O000028,P055,2,861
OI000060,O000028,P035,1,978
OI000061,O000029,P049,2,1416
OI000062,O000029,P012,2,715
OI000063,O000030,P021,1,1585
OI000064,O000031,P025,1,879
OI000065,O000031,P049,2,1416
OI000066,O000032,P004,2,860
OI000067,O000032,P001,1,1841
OI000068,O000032,P043,1,1355
OI000069,O000033,P005,2,1101
OI000070,O000033,P011,2,1752
OI000071,O000033,P043,1,1355
OI000072,O000034,P042,1,1718
OI000073,O000034,P051,1,1123
OI000074,O000035,P060,2,769
OI000075,O000035,P053,2,1572
OI000076,O000035,P047,1,1165
OI000077,O000036,P031,1,980
OI000078,O000036,P028,2,1764
OI000079,O000037,P011,1,1752
OI000080,O000038,P048,1,1658
OI000081,O000038,P036,1,1690
OI000082,O000038,P049,2,1416
OI000083,O000039,P041,2,1251
OI000084,O000040,P035,1,978
OI000085,O000040,P060,2,769
OI000086,O000041,P019,2,1100
OI000087,O000041,P016,2,1807
OI000088,O000041,P037,1,1213
OI000089,O000042,P019,1,1100
OI000090,O000043,P053,2,1572
OI000091,O000044,P003,2,947
OI000092,O000045,P035,2,978
OI000093,O000046,P058,1,951
OI000094,O000046,P003,1,947
OI000095,O000046,P011,2,1752
OI000096,O000047,P007,1,1282
OI000097,O000047,P024,2,768
OI000098,O000048,P016,1,1807
OI000099,O000048,P035,2,978
OI000100,O000048,P010,1,1949
OI000101,O000049,P022,1,1697
OI000102,O000049,P049,1,1416
OI000103,O000050,P035,2,978
OI000104,O000051,P038,2,1466
OI000105,O000052,P030,1,794
OI000106,O000052,P031,1,980
OI000107,O000052,P007,2,1282
OI000108,O000053,P054,1,1979
OI000109,O000054,P026,2,887
OI000110,O000055,P046,2,1441
OI000111,O000055,P005,2,1101
OI000112,O000055,P054,1,1979
OI000113,O000056,P026,1,887
OI000114,O000056,P039,2,750
OI000115,O000056,P025,2,879
OI000116,O000057,P036,2,1690
OI000117,O000057,P007,2,1282
OI000118,O000057,P047,2,1165
OI000119,O000058,P045,1,731
OI000120,O000059,P056,1,1093
OI000121,O000059,P040,1,1088
OI000122,O000059,P001,1,1841
OI000123,O000060,P013,1,1716
OI000124,O000060,P031,2,980
OI000125,O000061,P049,1,1416
OI000126,O000062,P030,2,794
OI000127,O000063,P010,1,1949
